Date,PRC,,,
01/08/2025,82.73,,,
01/09/2025,88.83,,,
01/10/2025,90.86,,,
01/11/2025,96.27,,,
01/12/2025,100.27,,,
01/01/2026,100.02,,,
01/02/2026,100.27,,,
01/03/2026,94.37,,,
01/04/2026,92.98,,,
01/05/2026,88.23,,,
01/06/2026,83.16,,,
01/07/2026,83.65,,,
01/08/2026,87.45,,,
01/09/2026,87.31,,,
01/10/2026,89.87,,,
01/11/2026,95.66,,,
01/12/2026,93.23,,,
01/01/2027,96.26,,,
01/02/2027,97.37,,,
01/03/2027,91.24,,,
01/04/2027,80.31,,,
01/05/2027,78.69,,,
01/06/2027,74.94,,,
01/07/2027,75.87,,,
01/08/2027,75.37,,,
01/09/2027,76.95,,,
01/10/2027,78.83,,,
01/11/2027,83.99,,,
01/12/2027,84.23,,,
01/01/2028,85.28,,,
01/02/2028,86.5,,,
01/03/2028,82.54,,,
01/04/2028,74.54,,,
01/05/2028,70.13,,,
01/06/2028,69.55,,,
01/07/2028,67.67,,,
01/08/2028,68.62,,,
01/09/2028,71.9,,,
01/10/2028,76.81,,,
01/11/2028,78.17,,,
01/12/2028,79.59,,,
01/01/2029,83.13,,,
01/02/2029,81.31,,,
01/03/2029,79.09,,,
01/04/2029,71.53,,,
01/05/2029,71.48,,,
01/06/2029,70.37,,,
01/07/2029,69.61,,,
01/08/2029,70.72,,,
01/09/2029,70.88,,,
01/10/2029,72.85,,,
01/11/2029,74.93,,,
01/12/2029,78.01,,,
01/01/2030,81.11,,,
01/02/2030,84.72,,,
01/03/2030,81.27,,,
01/04/2030,76.79,,,
01/05/2030,71.69,,,
01/06/2030,70.65,,,
01/07/2030,67.48,,,
01/08/2030,66.81,,,
01/09/2030,68.04,,,
01/10/2030,79.26,,,
01/11/2030,80.87,,,
01/12/2030,82.17,,,
01/01/2031,82.61,,,
01/02/2031,83.79,,,
01/03/2031,81.29,,,
01/04/2031,80.58,,,
01/05/2031,75.59,,,
01/06/2031,72.36,,,
